ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,industry_key,symbol,Name,Holding Percent,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score,profile,recent_score,recent_r63,recent_r126,recent_r252,scan_algo_fit,scan_algo_compat_score,scan_algo_compat_score_v2,scan_latest_rank_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,scan_candidate_track,recommendation,full_delta_roi_pct,oos_delta_roi_pct,full_delta_sharpe,oos_delta_sharpe,full_delta_maxdd_pct,oos_delta_maxdd_pct,backtestable_now,recommendation_rank,source_profiles,profile_count,high_fit_profile_count,positive_profile_count,dynamic_conviction_score,dynamic_status,dynamic_status_rank,exchange,fullExchangeName,broker_tradeable,broker_min_market_cap,add_wf_available,add_mean_delta_roi_2017_2025,add_mean_delta_sharpe_2017_2025,add_mean_delta_maxdd_2017_2025,add_roi_wins_2017_2025,add_sharpe_wins_2017_2025,add_maxdd_wins_2017_2025,add_delta_roi_2026_ytd,add_delta_sharpe_2026_ytd,add_delta_maxdd_2026_ytd,promotion_score,promotion_stage,promotion_stage_rank,as_of
FIX,{'SAAB-B.ST'},seed_peer,SAAB-B.ST,,"Comfort Systems USA, Inc.",Buy,0.007542842,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,,,,,49674547200.0,,,,,,,,12.0,targeted_current,1.6503590558465024,0.4288887896948352,0.7216379738361716,3.189815270932667,high,9.318181818181818,9.955911766454877,6.0,817.0,115.0,0.1407588739290085,1.4315032689551794,2.8957944778005977,0.9289909767874336,0.3487890966142681,0.5930252258849493,-0.0248531581243982,0.063691383441238,0.0,0.0,persistent_leader,watch,43235.97982181666,1496.9037131262116,,,55.07769624097485,71.1891249706593,1.0,2,targeted_current,1,1,1,18.5082,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1897.6378,targeted_integration,3,2026-04-08
PL,{'SAAB-B.ST'},industry_top_performing,,,Planet Labs PBC,,,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,0.7835,,35.17,35.0,10682159104.0,,,,,,,,11.5,targeted_current,4.1993140701344975,0.7158256109543304,1.3582491284958262,8.782123241363253,high,10.93939393939394,11.20185283808198,3.0,304.0,158.0,0.5197368421052632,3.666044756224908,3.953908414821687,0.9315177110407612,0.8316049085163929,1.4010970509748837,-0.0239688011357336,0.4241561708196293,1.0,0.0,persistent_leader,watch,41069.17641112146,1696.4183887067245,,,55.12367134541643,71.1891249706593,1.0,2,targeted_current,1,1,1,21.8772,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1833.4861,targeted_integration,3,2026-04-08
GEV,"{'XLI', 'SAAB-B.ST'}",etf_holding|seed_peer,SAAB-B.ST,XLI,GE Vernova Inc.,Strong Buy,0.03708513,industrials,aerospace-defense,GEV,GE Vernova Inc,0.046519898,SAAB-B.ST,2,2,SAAB-B.ST|XLI,0,0,0,new,,,,,239603073024.0,,,,,,,,20.0,targeted_current,0.94127492636086,0.3205209351353142,0.480230299164196,1.7126965491702966,medium,7.958575757575757,8.705099548518927,9.0,156.0,7.0,0.0448717948717948,0.8047691571191294,2.074367804305402,0.9185564203814488,0.2391868053940755,0.3940347242634907,-0.0285052528664929,0.101041673843514,0.0,0.0,persistent_leader,,,,,,,,,0,targeted_current,1,0,0,12.9341,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9341,watch_queue,2,2026-04-08
WWD,{'SAAB-B.ST'},industry_top_growth,,,"Woodward, Inc.",,,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,0.241,0.5767195767195767,,,21697837056.0,,,,,,,,11.5,targeted_current,0.6366108428283879,0.2188124002332554,0.4894838705652513,0.9926370363890904,low,4.163363636363637,5.810912859309258,22.0,74.0,0.0,0.0,0.5406819555663063,1.4635785232847571,0.8319328240731225,0.1961845677049332,0.3222123348111936,-0.0588235115744071,-0.019943587594386,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,8.4205,review,2,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4205,review_queue,1,2026-04-08
EME,{'SAAB-B.ST'},seed_peer,SAAB-B.ST,,"EMCOR Group, Inc.",Buy,0.0050416123,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,,,,,33344749568.0,,,,,,,,12.0,targeted_current,0.4833087947120806,0.1861582229208529,0.1473010607848306,0.9678918145349444,low,4.554545454545455,5.564937350076332,45.0,271.0,0.0,0.0,0.3864203965153497,1.2275431561199408,0.8057836007768391,0.1044655180372495,0.1864669953783022,-0.0679757397281063,0.0535875269306449,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,7.7517,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7517,review_queue,1,2026-04-08
ODFL,{'SAAB-B.ST'},seed_peer,SAAB-B.ST,,"Old Dominion Freight Line, Inc.",Hold,0.006242652,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,,,,,39247773696.0,,,,,,,,12.0,targeted_current,0.3046408489475837,0.2700545861867081,0.4379799708324896,0.1885948584431156,low,3.908333333333333,5.148745736224761,62.0,150.0,0.0,0.0,0.2548477772159524,0.6554608655422681,0.8148452801779951,0.1696804418127682,0.2538135074396013,-0.0648041519377017,-0.0403455491527416,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,7.3538,review,2,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3538,review_queue,1,2026-04-08
FDX,{'SAAB-B.ST'},seed_peer,SAAB-B.ST,,FedEx Corporation,Buy,0.012784067,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,,,,,83945873408.0,,,,,,,,12.0,targeted_current,0.4226290151811416,0.2241667190683793,0.4808517063874578,0.4636374720312064,weak,3.2372575757575754,4.982509881528125,35.0,63.0,0.0,0.0,0.3570031371963919,1.5849179378150011,0.7820074296142532,0.1934736860639342,0.3148834346182261,-0.0762973996350113,-0.0388643619349557,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,6.6003,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6003,review_queue,1,2026-04-08
GWW,{'SAAB-B.ST'},seed_peer,SAAB-B.ST,,"W.W. Grainger, Inc.",Hold,0.007878576,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,,,,,49981333504.0,,,,,,,,12.0,targeted_current,0.1358751636388669,0.1129994649900467,0.1714180762614678,0.1117701003406761,weak,3.787378787878788,4.910532270223226,96.0,151.0,46.0,0.304635761589404,0.0876644147871553,0.4815590317669174,0.797488306698983,0.0614351672866792,0.0866897334991925,-0.0708790926553559,-0.0248491954105285,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,6.3399,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3399,review_queue,1,2026-04-08
CSX,{'SAAB-B.ST'},seed_peer,SAAB-B.ST,,CSX Corporation,Buy,0.011562172,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,,,,,72411136000.0,,,,,,,,12.0,targeted_current,0.2530912848542475,0.1436448585254275,0.166151248189976,0.3947545346829288,weak,3.632015151515152,4.673249791622887,67.0,141.0,0.0,0.0,0.188854963231452,1.0664808772017491,0.8881499256500716,0.0961502321052448,0.1574277140538516,-0.0391475260224749,0.0080193925667266,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,5.8721,discovered,1,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8721,review_queue,1,2026-04-08
JCI,{'SAAB-B.ST'},seed_peer,SAAB-B.ST,,Johnson Controls International plc,Buy,0.012230878,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,,,,,81594540032.0,,,,,,,,12.0,targeted_current,0.3567354336505219,0.0935328482524562,0.2309036949410643,0.6141684650590122,weak,2.404439393939394,4.153195029092071,50.0,1.0,0.0,0.0,0.2799600444062949,1.1061612456524803,0.7699906469450827,0.0987636944709951,0.161721962887458,-0.080503273569221,-0.0250035927898603,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,5.7896,discovered,1,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7896,review_queue,1,2026-04-08
